id;participant_name;sex;age;timecompletion_time_seconds;errors;task_completed
1;inasmuch;F;13284;30935;9336;false
2;lively mastermind loosely;M;4994;955;28219;false
3;fully;F;15550;2378;10531;false
4;eek;M;29879;30468;1140;true
5;very limply;M;28533;24794;32332;true
6;scarcely;F;19245;1862;9018;true
7;majestically equal always;F;27031;21451;26626;true
8;joyfully familiarity;F;22638;10971;32454;true
9;excepting miniature;F;2474;13242;6712;true
10;abaft black-and-white incidentally;F;16242;7492;25406;true
